ID,Fire,Plot_ID,PlotID_noyr,Year,Species,OMU,DBH,TotHeight,LYHeight,LYGrowth,BudScars,Sprouts,Tally,Comments,fire_year,seed_estab_yr,post_fire_estab,max_ht,value,Visit
NA,SHR,SHR009,NA,2019,ABIES,NA,NA,NA,NA,NA,2,NA,NA,NA,2002,2017,15,72,15,revisit
NA,SHR,SHR009,NA,2019,ABIES,NA,NA,NA,NA,NA,2,NA,NA,NA,2002,2017,15,72,15,revisit
NA,SHR,SHR009,NA,2019,ABIES,NA,NA,NA,NA,NA,2,NA,NA,NA,2002,2017,15,72,15,revisit
NA,SHR,SHR009,NA,2019,ABIES,NA,NA,NA,NA,NA,2,NA,NA,NA,2002,2017,15,72,15,revisit
NA,SHR,SHR009,NA,2019,ABIES,NA,NA,NA,NA,NA,2,NA,NA,NA,2002,2017,15,72,15,revisit
NA,SHR,SHR009,NA,2019,ABIES,NA,NA,NA,NA,NA,2,NA,NA,NA,2002,2017,15,72,15,revisit
NA,SHR,SHR009,NA,2019,ABIES,NA,NA,NA,NA,NA,2,NA,NA,NA,2002,2017,15,72,15,revisit
NA,SHR,SHR009,NA,2019,ABIES,NA,NA,NA,NA,NA,2,NA,NA,NA,2002,2017,15,72,15,revisit
NA,SHR,SHR009,NA,2019,ABIES,NA,NA,NA,NA,NA,2,NA,NA,NA,2002,2017,15,72,15,revisit
NA,SHR,SHR009,NA,2019,ABIES,NA,NA,NA,NA,NA,2,NA,NA,NA,2002,2017,15,72,15,revisit
NA,SHR,SHR009,NA,2019,ABIES,NA,NA,NA,NA,NA,2,NA,NA,NA,2002,2017,15,72,15,revisit
NA,SHR,SHR009,NA,2019,ABIES,NA,NA,NA,NA,NA,2,NA,NA,NA,2002,2017,15,72,15,revisit
NA,SHR,SHR009,NA,2019,ABIES,NA,NA,NA,NA,NA,2,NA,NA,NA,2002,2017,15,72,15,revisit
NA,SHR,SHR009,NA,2019,ABIES,NA,NA,NA,NA,NA,2,NA,NA,NA,2002,2017,15,72,15,revisit
NA,SHR,SHR009,NA,2019,ABIES,NA,NA,NA,NA,NA,2,NA,NA,NA,2002,2017,15,72,15,revisit
NA,SHR,SHR009,NA,2019,ABIES,NA,NA,NA,NA,NA,3,NA,NA,NA,2002,2016,14,72,15,revisit
NA,SHR,SHR009,NA,2019,ABIES,NA,NA,NA,NA,NA,3,NA,NA,NA,2002,2016,14,72,15,revisit
NA,SHR,SHR009,NA,2019,ABIES,NA,NA,NA,NA,NA,3,NA,NA,NA,2002,2016,14,72,15,revisit
NA,SHR,SHR009,NA,2019,ABIES,NA,NA,NA,NA,NA,3,NA,NA,NA,2002,2016,14,72,15,revisit
NA,SHR,SHR009,NA,2019,ABIES,NA,NA,NA,NA,NA,3,NA,NA,NA,2002,2016,14,72,15,revisit
NA,SHR,SHR009,NA,2019,ABIES,NA,NA,NA,NA,NA,3,NA,NA,NA,2002,2016,14,72,15,revisit
NA,SHR,SHR009,NA,2019,ABIES,NA,NA,NA,NA,NA,3,NA,NA,NA,2002,2016,14,72,15,revisit
NA,SHR,SHR009,NA,2019,ABIES,NA,NA,NA,NA,NA,3,NA,NA,NA,2002,2016,14,72,15,revisit
NA,SHR,SHR009,NA,2019,ABIES,NA,NA,NA,NA,NA,3,NA,NA,NA,2002,2016,14,72,15,revisit
